# Valores esperados de observables
# Columnas:
# paso  <x>  <p>  <Ec>  <V>  <Etotal>
# 
4.700000000000000000e+02 2.161273319094193255e+02 8.840087377687966264e-01 1.419810521816518900e+00 5.804658987542218318e-01 2.000276420570740843e+00
4.750000000000000000e+02 2.170130515450822202e+02 8.823144431182715630e-01 1.411338251611434558e+00 5.889381689593027325e-01 2.000276420570737290e+00
4.800000000000000000e+02 2.178971070994452077e+02 8.806903236656330458e-01 1.403222526797685221e+00 5.970538937730486273e-01 2.000276420570733737e+00
4.850000000000000000e+02 2.187795690659471859e+02 8.791365722193271726e-01 1.395464234567295403e+00 6.048121860034347819e-01 2.000276420570730185e+00
4.900000000000000000e+02 2.196605080273822921e+02 8.776531584359008598e-01 1.388062733580630592e+00 6.122136869900963729e-01 2.000276420570727076e+00
4.950000000000000000e+02 2.205399943947044790e+02 8.762397807606275846e-01 1.381016521182658163e+00 6.192598993880655822e-01 2.000276420570723523e+00
5.000000000000000000e+02 2.214180981998655398e+02 8.748960084423271777e-01 1.374322917166435065e+00 6.259535034042853496e-01 2.000276420570720415e+00
5.050000000000000000e+02 2.222948890221583724e+02 8.736213642472963059e-01 1.367977267787030105e+00 6.322991527836865355e-01 2.000276420570716418e+00
5.100000000000000000e+02 2.231704358809093662e+02 8.724151810947563535e-01 1.361972873693960251e+00 6.383035468767526144e-01 2.000276420570712865e+00
5.150000000000000000e+02 2.240448069501146904e+02 8.712764355424524876e-01 1.356301831065423791e+00 6.439745895052857438e-01 2.000276420570709313e+00
5.200000000000000000e+02 2.249180692077025014e+02 8.702037917018466961e-01 1.350955833962573127e+00 6.493205866081328548e-01 2.000276420570705760e+00
5.250000000000000000e+02 2.257902881949022742e+02 8.691957309845363966e-01 1.345926327601426387e+00 6.543500929692758206e-01 2.000276420570702207e+00
5.300000000000000000e+02 2.266615278205385948e+02 8.682504850728229862e-01 1.341204507628222853e+00 6.590719129424761347e-01 2.000276420570699099e+00
5.350000000000000000e+02 2.275318499967886794e+02 8.673658071383262280e-01 1.336781774251880828e+00 6.634946463188143850e-01 2.000276420570695102e+00
5.400000000000000000e+02 2.284013141136370848e+02 8.665389335072035681e-01 1.332650281116686486e+00 6.676261394540052851e-01 2.000276420570691549e+00
5.450000000000000000e+02 2.292699766639047994e+02 8.657669151427809240e-01 1.328802725044705202e+00 6.714736955259832385e-01 2.000276420570688440e+00
5.500000000000000000e+02 2.301378912901515719e+02 8.650470692853747812e-01 1.325231268158053810e+00 6.750451524126312997e-01 2.000276420570685332e+00
5.550000000000000000e+02 2.310051091846766269e+02 8.643771979476841949e-01 1.321926417588107361e+00 6.783500029825741962e-01 2.000276420570681779e+00
5.600000000000000000e+02 2.318716795533799768e+02 8.637555157962213404e-01 1.318876660310366766e+00 6.813997602603112380e-01 2.000276420570678226e+00
5.650000000000000000e+02 2.327376499333995525e+02 8.631804552858144408e-01 1.316068993064782422e+00 6.842074275058922517e-01 2.000276420570674674e+00
5.700000000000000000e+02 2.336030662914892559e+02 8.626504165591173390e-01 1.313490162604955991e+00 6.867862579657151301e-01 2.000276420570671121e+00
5.750000000000000000e+02 2.344679728214720171e+02 8.621634092770300573e-01 1.311128418002020624e+00 6.891480025686476107e-01 2.000276420570668456e+00
5.800000000000000000e+02 2.353324113701805231e+02 8.617167065503334999e-01 1.308975161601779735e+00 6.913012589688849463e-01 2.000276420570664904e+00
5.850000000000000000e+02 2.361964206760905540e+02 8.613068754395187820e-01 1.307025252078999333e+00 6.932511684916616845e-01 2.000276420570660907e+00
5.900000000000000000e+02 2.370600359371920831e+02 8.609304081494657535e-01 1.305275058164558688e+00 6.950013624060991102e-01 2.000276420570657798e+00
5.950000000000000000e+02 2.379232891986181357e+02 8.605846478776996156e-01 1.303719103855628614e+00 6.965573167150258538e-01 2.000276420570654246e+00
6.000000000000000000e+02 2.387862105164389845e+02 8.602683081762858563e-01 1.302347831998132754e+00 6.979285885725182714e-01 2.000276420570651137e+00
6.050000000000000000e+02 2.396488291996201099e+02 8.599810709418241883e-01 1.301148698732217390e+00 6.991277218384297498e-01 2.000276420570647140e+00
6.100000000000000000e+02 2.405111742277929352e+02 8.597224099515099471e-01 1.300110318447401436e+00 7.001661021232424842e-01 2.000276420570644031e+00
6.150000000000000000e+02 2.413732734259860422e+02 8.594904213788140401e-01 1.299226695771246387e+00 7.010497247993943137e-01 2.000276420570640923e+00
6.200000000000000000e+02 2.422351518744170846e+02 8.592815818384320625e-01 1.298498054423878667e+00 7.017783661467578149e-01 2.000276420570636482e+00
6.250000000000000000e+02 2.430968307346014115e+02 8.590918225364201355e-01 1.297927088949818675e+00 7.023493316208144766e-01 2.000276420570632929e+00
6.300000000000000000e+02 2.439583275885820512e+02 8.589183257362666968e-01 1.297513094613999218e+00 7.027633259566301582e-01 2.000276420570629377e+00
6.350000000000000000e+02 2.448196583610386483e+02 8.587606699889784867e-01 1.297248617809329208e+00 7.030278027612968383e-01 2.000276420570625824e+00
6.400000000000000000e+02 2.456808395311560957e+02 8.586201594845950247e-01 1.297121900661449612e+00 7.031545199091727705e-01 2.000276420570622271e+00
6.450000000000000000e+02 2.465418887922329247e+02 8.584975422927541011e-01 1.297123878612882697e+00 7.031525419577366876e-01 2.000276420570619607e+00
6.500000000000000000e+02 2.474028233438215238e+02 8.583908878707089407e-01 1.297254201910429616e+00 7.030222186601866596e-01 2.000276420570616054e+00
6.550000000000000000e+02 2.482636570352591718e+02 8.582956394071896700e-01 1.297520757172666128e+00 7.027556633979465950e-01 2.000276420570612501e+00
6.600000000000000000e+02 2.491243988841911232e+02 8.582071898833470991e-01 1.297932360223967629e+00 7.023440603466415411e-01 2.000276420570608948e+00
6.650000000000000000e+02 2.499850546437984917e+02 8.581239858590303804e-01 1.298490644528562665e+00 7.017857760420428415e-01 2.000276420570605396e+00
6.700000000000000000e+02 2.508456304998990163e+02 8.580483232940704363e-01 1.299188722605552071e+00 7.010876979650498830e-01 2.000276420570601843e+00
6.750000000000000000e+02 2.517061358397117203e+02 8.579837466727319173e-01 1.300018739034765503e+00 7.002576815358328988e-01 2.000276420570598290e+00
6.800000000000000000e+02 2.525665824691625687e+02 8.579310225984988492e-01 1.300982280778652633e+00 6.992941397919421043e-01 2.000276420570594738e+00
6.850000000000000000e+02 2.534269806435859778e+02 8.578863030251633326e-01 1.302094214169224218e+00 6.981822064013670781e-01 2.000276420570591185e+00
6.900000000000000000e+02 2.542873353563734327e+02 8.578435417733765167e-01 1.303375645328507026e+00 6.969007752420806057e-01 2.000276420570587632e+00
6.950000000000000000e+02 2.551476465769045490e+02 8.577994622964040250e-01 1.304841484543751928e+00 6.954349360268323732e-01 2.000276420570584079e+00
7.000000000000000000e+02 2.560079138586107206e+02 8.577566384310308933e-01 1.306493823834204315e+00 6.937825967363772106e-01 2.000276420570581415e+00
7.050000000000000000e+02 2.568681415370455738e+02 8.577213711560782716e-01 1.308328005468431421e+00 6.919484151021464413e-01 2.000276420570577862e+00
