# Probabilidades en los detectores
# Columnas:
# paso  PI  PD
# 
2.620000000000000000e+02 2.424069358540018742e-04 5.912649891011131750e-24
2.630000000000000000e+02 2.342859806389609417e-04 6.483978489896964900e-24
2.640000000000000000e+02 2.264192886461660528e-04 7.109910039794093746e-24
2.650000000000000000e+02 2.187995330342549084e-04 7.795604361128491736e-24
2.660000000000000000e+02 2.114195765446216855e-04 8.546703215346108394e-24
2.670000000000000000e+02 2.042724672927197899e-04 9.369374781968416444e-24
2.680000000000000000e+02 1.973514346312892531e-04 1.027036218971814844e-23
2.690000000000000000e+02 1.906498850849294843e-04 1.125703646653367613e-23
2.700000000000000000e+02 1.841613983554187884e-04 1.233745430568662141e-23
2.710000000000000000e+02 1.778797233971685923e-04 1.352042108045112800e-23
2.720000000000000000e+02 1.717987745621842185e-04 1.481555957808930166e-23
2.730000000000000000e+02 1.659126278138909282e-04 1.623338496558183210e-23
2.740000000000000000e+02 1.602155170091697255e-04 1.778538654483403775e-23
2.750000000000000000e+02 1.547018302479371676e-04 1.948411690433828803e-23
2.760000000000000000e+02 1.493661062895890884e-04 2.134328912781352033e-23
2.770000000000000000e+02 1.442030310356190903e-04 2.337788277853971297e-23
2.780000000000000000e+02 1.392074340777129261e-04 2.560425944135824732e-23
2.790000000000000000e+02 1.343742853106087546e-04 2.804028867305224872e-23
2.800000000000000000e+02 1.296986916090061800e-04 3.070548528652244519e-23
2.810000000000000000e+02 1.251758935677982527e-04 3.362115897534390458e-23
2.820000000000000000e+02 1.208012623048940030e-04 3.681057737347871101e-23
2.830000000000000000e+02 1.165702963258903835e-04 4.029914374072707748e-23
2.840000000000000000e+02 1.124786184498504705e-04 4.411459056857444310e-23
2.850000000000000000e+02 1.085219727954344975e-04 4.828719051413497273e-23
2.860000000000000000e+02 1.046962218266294276e-04 5.284998619266803535e-23
2.870000000000000000e+02 1.009973434573165107e-04 5.783904049247537829e-23
2.880000000000000000e+02 9.742142821391301948e-05 6.329370922076869738e-23
2.890000000000000000e+02 9.396467645532205200e-05 6.925693804630144687e-23
2.900000000000000000e+02 9.062339564942007602e-05 7.577558587522848121e-23
2.910000000000000000e+02 8.739399770531221473e-05 8.290077698193721219e-23
2.920000000000000000e+02 8.427299636058111258e-05 9.068828441771006933e-23
2.930000000000000000e+02 8.125700462275623674e-05 9.919894743836534206e-23
2.940000000000000000e+02 7.834273226422925002e-05 1.084991259289295223e-22
2.950000000000000000e+02 7.552698336984033176e-05 1.186611950604766318e-22
2.960000000000000000e+02 7.280665393636174675e-05 1.297640836932286763e-22
2.970000000000000000e+02 7.017872952310498882e-05 1.418938603426743491e-22
2.980000000000000000e+02 6.764028295287933049e-05 1.551443708538170370e-22
2.990000000000000000e+02 6.518847206253078883e-05 1.696179322848562598e-22
3.000000000000000000e+02 6.282053750229336399e-05 1.854260878879610457e-22
3.010000000000000000e+02 6.053380058318557201e-05 2.026904284938271183e-22
3.020000000000000000e+02 5.832566117168885156e-05 2.215434860611428638e-22
3.030000000000000000e+02 5.619359563094722230e-05 2.421297056448707099e-22
3.040000000000000000e+02 5.413515480773060885e-05 2.646065025715563706e-22
3.050000000000000000e+02 5.214796206440845190e-05 2.891454121891714964e-22
3.060000000000000000e+02 5.022971135518379955e-05 3.159333401869911858e-22
3.070000000000000000e+02 4.837816534584251694e-05 3.451739221617372982e-22
3.080000000000000000e+02 4.659115357627664322e-05 3.770890018440618285e-22
3.090000000000000000e+02 4.486657066504602079e-05 4.119202381990876153e-22
3.100000000000000000e+02 4.320237455524698385e-05 4.499308524812921633e-22
3.110000000000000000e+02 4.159658480096246988e-05 4.914075272630116452e-22
3.120000000000000000e+02 4.004728089357340010e-05 5.366624704732223974e-22
3.130000000000000000e+02 3.855260062721676487e-05 5.860356585854562591e-22
3.140000000000000000e+02 3.711073850268204404e-05 6.398972742877161358e-22
3.150000000000000000e+02 3.571994416904332448e-05 6.986503552605536054e-22
3.160000000000000000e+02 3.437852090233144337e-05 7.627336720902451231e-22
3.170000000000000000e+02 3.308482412055613710e-05 8.326248548609828860e-22
3.180000000000000000e+02 3.183725993439564974e-05 9.088437896127197754e-22
3.190000000000000000e+02 3.063428373287749627e-05 9.919563076299980418e-22
3.200000000000000000e+02 2.947439880338124807e-05 1.082578192452858656e-21
3.210000000000000000e+02 2.835615498530139481e-05 1.181379531585691553e-21
3.220000000000000000e+02 2.727814735671516350e-05 1.289089442136627009e-21
3.230000000000000000e+02 2.623901495340806000e-05 1.406501202062689126e-21
3.240000000000000000e+02 2.523743951961667458e-05 1.534477821339527424e-21
3.250000000000000000e+02 2.427214428985655288e-05 1.673958090235385446e-21
3.260000000000000000e+02 2.334189280120967677e-05 1.825963144964603717e-21
3.270000000000000000e+02 2.244548773545471497e-05 1.991603594345362645e-21
3.280000000000000000e+02 2.158176979043025090e-05 2.172087254709995584e-21
3.290000000000000000e+02 2.074961658002937758e-05 2.368727544236186623e-21
3.300000000000000000e+02 1.994794156223184207e-05 2.582952592107428501e-21
3.310000000000000000e+02 1.917569299458793134e-05 2.816315122497133802e-21
3.320000000000000000e+02 1.843185291657616236e-05 3.070503178330380273e-21
3.330000000000000000e+02 1.771543615826493996e-05 3.347351755140439978e-21
3.340000000000000000e+02 1.702548937471637947e-05 3.648855421136242667e-21
3.350000000000000000e+02 1.636109010557860560e-05 3.977182005866653233e-21
3.360000000000000000e+02 1.572134585932081813e-05 4.334687446645397368e-21
3.370000000000000000e+02 1.510539322157362438e-05 4.723931889227169698e-21
3.380000000000000000e+02 1.451239698704526326e-05 5.147697147144666330e-21
3.390000000000000000e+02 1.394154931449233473e-05 5.609005632674923046e-21
3.400000000000000000e+02 1.339206890423188197e-05 6.111140881652426016e-21
3.410000000000000000e+02 1.286320019768971321e-05 6.657669804340394812e-21
3.420000000000000000e+02 1.235421259848794813e-05 7.252466805369767800e-21
3.430000000000000000e+02 1.186439971458280005e-05 7.899739927420861114e-21
3.440000000000000000e+02 1.139307862097173671e-05 8.604059185924421772e-21
3.450000000000000000e+02 1.093958914249705507e-05 9.370387275670024007e-21
3.460000000000000000e+02 1.050329315628098289e-05 1.020411284491052256e-20
3.470000000000000000e+02 1.008357391333531242e-05 1.111108654842678498e-20
3.480000000000000000e+02 9.679835378896510111e-06 1.209766010815933391e-20
3.490000000000000000e+02 9.291501591045057336e-06 1.317072862852246957e-20
3.500000000000000000e+02 8.918016037175644607e-06 1.433777643349823045e-20
3.510000000000000000e+02 8.558841047892556351e-06 1.560692671417750534e-20
3.520000000000000000e+02 8.213457207912362582e-06 1.698699529869759458e-20
3.530000000000000000e+02 7.881362783563589290e-06 1.848754888165219649e-20
